Lab 10 - Part 2 Bowen ratio method,,,,,,,,,,,,,,
Data taken from Rosie's Whistler case study,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Early morning data:,,,,,,,,,,,,,,
Date,Time (PST),Net radiation (W/m^2),2-m temperature  (degC),2-m relative humidity (%),10-m temperature (degC),10-m relative humidity (%),Pressure (kPa),,,,,,,
22-Feb-10,06:00:10,35.7,-2.3,71.6,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:20,35.8,-2.4,71.1,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:30,35.8,-2.4,70.8,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:40,35.8,-2.5,70.9,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:00:50,35.6,-2.6,71.4,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:01:00,35.6,-2.6,71.9,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:01:10,35.6,-2.6,72.5,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:01:20,35.6,-2.6,72.9,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:01:30,35.5,-2.7,73.3,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:01:40,35.4,-2.6,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:01:50,35.2,-2.6,72.8,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:02:00,35.2,-2.7,72.8,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:10,35.2,-2.7,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:20,34.6,-2.7,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:30,34.7,-2.7,73.2,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:40,34.8,-2.7,73.2,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:50,34.9,-2.8,72.8,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:03:00,34.9,-2.8,72.6,0.0,60.3,86.6,,,,,,,
