# Data from Rio Frio Campaign, Portugal 2002,,,
# Turbulence measurements over a cork oak plantation,,,,
# Level T9 / DOY 193 2003, 13:00 - 14:00 Local Time,,,
"# ""Time(s)""",U_Wind(ms-1),V_Wind(ms-1),W_wind(ms-1),Temperature(degC)
0,4.57,-1.05,-0.17,27.58
0.05,4.49,-1.07,-0.21,27.49
0.1,4.58,-0.98,-0.47,27.41
0.15,4.58,-1.06,-0.35,27.47
0.2,4.52,-1.07,-0.39,27.46
0.25,4.61,-0.89,-0.36,27.53
0.3,4.47,-0.9,-0.38,27.58
0.35,4.51,-0.95,-0.28,27.64
0.4,4.7,-0.9,-0.27,27.66
0.45,4.49,-0.95,-0.08,27.68
0.5,4.54,-1.06,0.04,27.67
0.55,4.4,-0.95,-0.01,27.74
0.6,4.45,-1,-0.25,27.83
0.65,4.44,-0.81,-0.2,27.81
0.7,4.33,-0.73,-0.36,27.79
0.75,4.47,-0.55,-0.51,27.76
0.8,4.66,-0.65,-0.61,27.78
0.85,4.68,-0.63,-0.73,27.69
0.9,4.77,-0.7,-0.94,27.54
0.95,4.63,-0.58,-0.99,27.38
1,4.43,-0.43,-0.86,27.36
1.05,4.3,-0.29,-0.76,27.35
1.1,4.25,-0.09,-0.55,27.35
1.15,4.11,-0.02,-0.55,27.35
1.2,4.13,0.08,-0.4,27.35
1.25,4.16,0.16,-0.18,27.43
1.3,4.28,0.22,0.03,27.64
1.35,4.44,0.17,0.11,27.98
1.4,4.34,-0.19,0.32,28.11
1.45,4.26,-0.17,0.15,28.11
1.5,4.33,-0.3,0.15,28.13
1.55,4.24,-0.35,0.59,28.21
1.6,4.16,-0.57,0.48,28.33
1.65,4.05,-0.96,0.47,28.31
1.7,4.02,-1,0.54,28.36
1.75,4.01,-1.06,0.65,28.28
1.8,4.16,-1.15,0.65,28.21
1.85,4.19,-1.08,0.32,28.16
1.9,4.48,-0.65,-0.12,28.22
1.95,4.86,-0.44,-0.05,27.71
2,4.74,-0.67,-0.11,27.51
2.05,4.91,-0.7,-0.29,27.42
2.1,4.99,-0.69,-0.35,27.42
2.15,4.99,-0.72,-0.41,27.42
2.2,4.95,-0.69,-0.51,27.42
2.25,4.98,-0.65,-0.59,27.41
2.3,4.92,-0.69,-0.68,27.42
2.35,5.05,-0.75,-0.86,27.66
2.4,5.08,-0.97,-0.6,28.12
2.45,5.08,-0.97,-0.42,28.19
2.5,5.03,-0.87,-0.19,28.24
2.55,4.8,-0.85,-0.27,28.24
2.6,4.93,-0.95,-0.32,28.3
2.65,5.13,-1.02,-0.17,28.31
2.7,4.96,-1.08,-0.11,28.29
2.75,4.81,-0.97,0,28.34
2.8,4.79,-0.95,-0.05,28.19
2.85,4.68,-0.91,0.12,28.42
2.9,4.69,-0.76,0.2,28.43
2.95,4.82,-0.81,0.04,28.33
3,4.83,-1.05,0.11,28.36
3.05,4.51,-1.06,0.16,28.21
3.1,4.5,-1.08,-0.06,27.74
3.15,4.73,-0.93,-0.33,28.08
