"TOA5","CR1000","CR1000","8841","CR1000.Std.25","CPU:lab1_TCs.CR1","17495","lab1_TCs"
"TIMESTAMP","RECORD","Batt_Volt_Min","temp_1_Avg","temp_2_Avg","temp_3_Avg","temp_4_Avg","temp_5_Avg","temp_6_Avg","volt_1_Avg","volt_2_Avg","volt_3_Avg","volt_4_Avg","volt_5_Avg","volt_6_Avg"
"TS","RN","Volts","degC","degC","degC","degC","degC","degC","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-01-16 16:56:10",0,13.19,23,24.69,"NAN","NAN","NAN","NAN",-1.857,99.4,"NAN","NAN","NAN","NAN"
"2020-01-16 16:56:20",1,13.19,23.02,24.56,"NAN","NAN","NAN","NAN",-1.688,92,"NAN","NAN","NAN","NAN"
"2020-01-17 12:22:50",2,13.19,23.04,24.38,"NAN","NAN","NAN","NAN",-1.266,79.42,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:00",3,13.19,23.02,24.26,"NAN","NAN","NAN","NAN",-1.958,71.7,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:10",4,13.19,22.97,24.15,"NAN","NAN","NAN","NAN",-3.848,65.9,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:20",5,13.19,22.92,24.08,"NAN","NAN","NAN","NAN",-6.009,61.3,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:30",6,13.19,22.87,24.01,"NAN","NAN","NAN","NAN",-7.562,57.19,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:40",7,13.19,22.83,23.94,"NAN","NAN","NAN","NAN",-9.59,53,"NAN","NAN","NAN","NAN"
"2020-01-17 12:23:50",8,13.19,22.79,23.85,"NAN","NAN","NAN","NAN",-10.67,47.8,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:00",9,13.18,22.79,23.75,"NAN","NAN","NAN","NAN",-10.8,41.66,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:10",10,13.18,22.79,23.67,"NAN","NAN","NAN","NAN",-10.53,37.2,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:20",11,13.18,22.8,23.61,"NAN","NAN","NAN","NAN",-10.67,32.95,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:30",12,13.18,22.79,23.54,"NAN","NAN","NAN","NAN",-11.14,28.49,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:40",13,13.18,22.78,23.5,"NAN","NAN","NAN","NAN",-10.94,25.25,"NAN","NAN","NAN","NAN"
"2020-01-17 12:24:50",14,13.19,22.79,23.47,"NAN","NAN","NAN","NAN",-11.01,23.7,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:00",15,13.18,22.8,23.45,"NAN","NAN","NAN","NAN",-10.67,23.02,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:10",16,13.18,22.83,23.41,"NAN","NAN","NAN","NAN",-9.86,21.07,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:20",17,13.18,23.84,24.2,"NAN","NAN","NAN","NAN",31.53,70.76,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:30",18,13.18,24.68,27.06,"NAN","NAN","NAN","NAN",66.03,244.3,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:40",19,13.18,24.72,27.02,"NAN","NAN","NAN","NAN",66.71,241.1,"NAN","NAN","NAN","NAN"
"2020-01-17 12:25:50",20,13.18,24.56,26.65,"NAN","NAN","NAN","NAN",60.29,218,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:00",21,13.18,24.36,26.22,"NAN","NAN","NAN","NAN",52.26,191,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:10",22,13.18,24.19,25.85,"NAN","NAN","NAN","NAN",45.1,167,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:20",23,13.18,24.01,25.5,"NAN","NAN","NAN","NAN",38.35,147.7,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:30",24,13.18,23.84,25.23,"NAN","NAN","NAN","NAN",30.99,131,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:40",25,13.18,23.66,24.99,"NAN","NAN","NAN","NAN",24.44,115.8,"NAN","NAN","NAN","NAN"
"2020-01-17 12:26:50",26,13.18,23.53,24.85,"NAN","NAN","NAN","NAN",18.84,107.3,"NAN","NAN","NAN","NAN"
"2020-01-17 12:27:00",27,13.18,23.44,25.01,"NAN","NAN","NAN","NAN",14.85,117.4,"NAN","NAN","NAN","NAN"
"2020-01-17 12:27:10",28,13.18,23.38,25.33,"NAN","NAN","NAN","NAN",12.83,135.6,"NAN","NAN","NAN","NAN"
"2020-01-17 12:27:20",29,13.18,23.31,25.47,"NAN","NAN","NAN","NAN",10.06,145,"NAN","NAN","NAN","NAN"
"2020-01-17 12:27:30",30,13.18,23.23,25.24,"NAN","NAN","NAN","NAN",7.089,131.8,"NAN","NAN","NAN","NAN"
"2020-01-17 12:27:40",31,13.18,23.18,24.94,"NAN","NAN","NAN","NAN",4.659,114.2,"NAN","NAN","NAN","NAN"
