"TOA5","CR1000","CR1000","17026","CR1000.Std.15","CPU:lab1_TCs.CR1","17495","lab1_TCs"
"TIMESTAMP","RECORD","Batt_Volt_Min","temp_1_Avg","temp_2_Avg","temp_3_Avg","temp_4_Avg","temp_5_Avg","temp_6_Avg","volt_1_Avg","volt_2_Avg","volt_3_Avg","volt_4_Avg","volt_5_Avg","volt_6_Avg"
"TS","RN","Volts","degC","degC","degC","degC","degC","degC","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-01-10 19:43:20",0,12.91,26.22,"NAN","NAN","NAN","NAN","NAN",80.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:43:30",1,12.91,26.24,"NAN","NAN","NAN","NAN","NAN",81.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:43:40",2,12.91,26.26,"NAN","NAN","NAN","NAN","NAN",81.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:43:50",3,12.9,26.29,"NAN","NAN","NAN","NAN","NAN",82.1,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:00",4,12.91,26.31,"NAN","NAN","NAN","NAN","NAN",82.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:10",5,12.91,26.31,"NAN","NAN","NAN","NAN","NAN",82.7,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:20",6,12.91,26.31,"NAN","NAN","NAN","NAN","NAN",83,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:30",7,12.9,26.32,"NAN","NAN","NAN","NAN","NAN",83.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:40",8,12.91,26.33,"NAN","NAN","NAN","NAN","NAN",83.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:44:50",9,12.9,26.34,"NAN","NAN","NAN","NAN","NAN",84.1,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:00",10,12.91,26.35,"NAN","NAN","NAN","NAN","NAN",84.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:10",11,12.91,26.36,"NAN","NAN","NAN","NAN","NAN",84.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:20",12,12.9,26.35,"NAN","NAN","NAN","NAN","NAN",84.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:30",13,12.91,26.37,"NAN","NAN","NAN","NAN","NAN",84.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:40",14,12.9,26.38,"NAN","NAN","NAN","NAN","NAN",85.1,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:45:50",15,12.9,26.39,"NAN","NAN","NAN","NAN","NAN",85.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:00",16,12.91,26.4,"NAN","NAN","NAN","NAN","NAN",85.8,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:10",17,12.9,26.41,"NAN","NAN","NAN","NAN","NAN",86,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:20",18,12.9,26.41,"NAN","NAN","NAN","NAN","NAN",86.4,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:30",19,12.9,26.42,"NAN","NAN","NAN","NAN","NAN",86.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:40",20,12.91,26.43,"NAN","NAN","NAN","NAN","NAN",86.7,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:46:50",21,12.91,26.46,"NAN","NAN","NAN","NAN","NAN",87,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:00",22,12.9,26.47,"NAN","NAN","NAN","NAN","NAN",87,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:10",23,12.9,26.49,"NAN","NAN","NAN","NAN","NAN",87.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:20",24,12.9,26.47,"NAN","NAN","NAN","NAN","NAN",88,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:30",25,12.91,26.5,"NAN","NAN","NAN","NAN","NAN",88.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:40",26,12.9,26.51,"NAN","NAN","NAN","NAN","NAN",88.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:47:50",27,12.9,26.51,"NAN","NAN","NAN","NAN","NAN",88.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:48:00",28,12.9,26.51,"NAN","NAN","NAN","NAN","NAN",89,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:48:10",29,12.91,26.53,"NAN","NAN","NAN","NAN","NAN",89.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:48:20",30,12.91,26.53,"NAN","NAN","NAN","NAN","NAN",89.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-10 19:48:30",31,12.91,26.55,"NAN","NAN","NAN","NAN","NAN",89.2,"NAN","NAN","NAN","NAN","NAN"
