"TOA5","CR3000","CR3000","1586","CR3000.Std.07","CPU:lab1_TCs.CR3","48950","lab1_TCs"
"TIMESTAMP","RECORD","Batt_Volt_Min","temp_1_Avg","temp_2_Avg","temp_6_Avg","temp_7_Avg","temp_8_Avg","temp_9_Avg","temp_13_Avg","temp_14_Avg","volt_1_Avg","volt_2_Avg","volt_6_Avg","volt_7_Avg","volt_8_Avg","volt_9_Avg","volt_13_Avg","volt_14_Avg"
"TS","RN","Volts","degC","degC","degC","degC","degC","degC","degC","degC","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-01-16 17:54:30",0,12.93,23.14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.62,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-16 17:54:40",1,12.93,23.12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.23,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:26:30",2,12.93,23.11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.82,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:26:40",3,12.93,23.09,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.09,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:26:50",4,12.93,23.12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:00",5,12.93,23.14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.25,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:10",6,12.94,23.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.59,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:20",7,12.93,23.19,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",31.18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:30",8,12.93,23.2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",31.12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:40",9,12.92,23.18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.85,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:27:50",10,12.93,23.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.82,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:00",11,12.93,23.14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.56,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:10",12,12.93,23.14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.39,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:20",13,12.93,23.14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.26,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:30",14,12.93,23.12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.8,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:40",15,12.93,23.11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.37,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:28:50",16,12.92,23.1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:00",17,12.92,23.09,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:10",18,12.93,23.11,"NAN",25.72,"NAN","NAN","NAN","NAN","NAN",26.61,"NAN",133,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:20",19,12.92,23.12,"NAN",25.44,"NAN","NAN","NAN","NAN","NAN",26.14,"NAN",121.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:30",20,12.92,23.1,"NAN",25.52,"NAN","NAN","NAN","NAN","NAN",25.61,"NAN",124.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:40",21,12.93,23.16,"NAN",26.29,"NAN","NAN","NAN","NAN","NAN",28.6,"NAN",156.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:29:50",22,12.93,24.03,"NAN",29.94,"NAN","NAN","NAN","NAN","NAN",64.02,"NAN",305,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:00",23,12.93,24.11,"NAN",29.97,"NAN","NAN","NAN","NAN","NAN",66.71,"NAN",306.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:10",24,12.92,24.03,"NAN",29.51,"NAN","NAN","NAN","NAN","NAN",62.76,"NAN",286.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:20",25,12.92,23.95,"NAN",29.03,"NAN","NAN","NAN","NAN","NAN",59.38,"NAN",266.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:30",26,12.92,23.85,"NAN",28.65,"NAN","NAN","NAN","NAN","NAN",56.06,"NAN",251.4,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:40",27,12.91,23.75,"NAN",28.37,"NAN","NAN","NAN","NAN","NAN",51.55,"NAN",239.3,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:30:50",28,12.93,23.65,"NAN",28.08,"NAN","NAN","NAN","NAN","NAN",46.97,"NAN",228,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:00",29,12.93,23.51,"NAN",27.67,"NAN","NAN","NAN","NAN","NAN",41.2,"NAN",210.8,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:10",30,12.93,23.53,"NAN",27.27,"NAN","NAN","NAN","NAN","NAN",41.86,"NAN",194.4,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:20",31,12.93,23.71,"NAN",26.95,"NAN","NAN","NAN","NAN","NAN",48.6,"NAN",180.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:30",32,12.92,23.79,"NAN",26.67,"NAN","NAN","NAN","NAN","NAN",51.72,"NAN",169,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:40",33,12.92,23.77,"NAN",26.07,"NAN","NAN","NAN","NAN","NAN",51.09,"NAN",147.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:31:50",34,12.92,23.7,"NAN",25.42,"NAN","NAN","NAN","NAN","NAN",48.9,"NAN",117.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:00",35,12.92,23.63,"NAN",24.85,"NAN","NAN","NAN","NAN","NAN",45.35,"NAN",96.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:10",36,12.92,23.52,"NAN",24.32,"NAN","NAN","NAN","NAN","NAN",40.17,"NAN",69.83,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:20",37,12.92,23.41,"NAN",23.77,"NAN","NAN","NAN","NAN","NAN",35,"NAN",49.23,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:30",38,12.92,23.27,"NAN",23.36,"NAN","NAN","NAN","NAN","NAN",30.39,"NAN",39.81,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:40",39,12.92,23.19,"NAN",23.24,"NAN","NAN","NAN","NAN","NAN",27.1,"NAN",30.62,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:32:50",40,12.92,23.09,"NAN",23.07,"NAN","NAN","NAN","NAN","NAN",22.66,"NAN",17.81,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:00",41,12.92,22.99,"NAN",22.82,"NAN","NAN","NAN","NAN","NAN",19.77,"NAN",9.16,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:10",42,12.92,22.92,"NAN",22.6,"NAN","NAN","NAN","NAN","NAN",16.06,"NAN",4.346,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:20",43,12.91,22.89,"NAN",22.53,"NAN","NAN","NAN","NAN","NAN",14.13,"NAN",0.995,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:30",44,12.92,22.82,"NAN",22.4,"NAN","NAN","NAN","NAN","NAN",10.55,"NAN",-12.31,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:40",45,12.91,22.73,"NAN",22.11,"NAN","NAN","NAN","NAN","NAN",6.336,"NAN",-16.72,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:33:50",46,12.92,22.66,"NAN",22.08,"NAN","NAN","NAN","NAN","NAN",3.815,"NAN",-22.76,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:00",47,12.92,22.6,"NAN",22.06,"NAN","NAN","NAN","NAN","NAN",1.426,"NAN",-25.44,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:10",48,12.91,22.56,"NAN",22.02,"NAN","NAN","NAN","NAN","NAN",-0.299,"NAN",-28.43,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:20",49,12.92,22.51,"NAN",21.95,"NAN","NAN","NAN","NAN","NAN",-2.621,"NAN",-30.22,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:30",50,12.91,22.51,"NAN",21.86,"NAN","NAN","NAN","NAN","NAN",-3.185,"NAN",-26.07,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:40",51,12.91,22.49,"NAN",21.92,"NAN","NAN","NAN","NAN","NAN",-3.848,"NAN",-28.1,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:34:50",52,12.91,22.47,"NAN",21.91,"NAN","NAN","NAN","NAN","NAN",-5.042,"NAN",-28.2,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:00",53,12.91,22.44,"NAN",21.82,"NAN","NAN","NAN","NAN","NAN",-6.436,"NAN",-26.9,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:10",54,12.91,22.4,"NAN",21.77,"NAN","NAN","NAN","NAN","NAN",-7.895,"NAN",-31.95,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:20",55,12.91,22.37,"NAN",21.72,"NAN","NAN","NAN","NAN","NAN",-9.35,"NAN",-35.5,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:30",56,12.91,22.34,"NAN",21.67,"NAN","NAN","NAN","NAN","NAN",-10.35,"NAN",-35,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:40",57,12.91,22.3,"NAN",21.67,"NAN","NAN","NAN","NAN","NAN",-11.88,"NAN",-40.47,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:35:50",58,12.91,22.27,"NAN",21.61,"NAN","NAN","NAN","NAN","NAN",-13,"NAN",-42.89,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:00",59,12.92,22.25,"NAN",21.51,"NAN","NAN","NAN","NAN","NAN",-14.33,"NAN",-41.1,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:10",60,12.92,22.23,"NAN",21.48,"NAN","NAN","NAN","NAN","NAN",-15.72,"NAN",-43.82,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:20",61,12.92,22.22,"NAN",21.52,"NAN","NAN","NAN","NAN","NAN",-15.53,"NAN",-41.83,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:30",62,12.91,22.21,"NAN",21.56,"NAN","NAN","NAN","NAN","NAN",-15.96,"NAN",-45.12,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:40",63,12.91,22.22,"NAN",21.59,"NAN","NAN","NAN","NAN","NAN",-15.72,"NAN",-44.55,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:36:50",64,12.91,22.24,"NAN",21.58,"NAN","NAN","NAN","NAN","NAN",-15.39,"NAN",-40.04,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:00",65,12.91,22.2,"NAN",21.74,"NAN","NAN","NAN","NAN","NAN",-15.86,"NAN",-39.84,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:10",66,12.91,22.18,"NAN",21.67,"NAN","NAN","NAN","NAN","NAN",-16.39,"NAN",-33.7,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:20",67,12.91,22.13,"NAN",21.63,"NAN","NAN","NAN","NAN","NAN",-18.34,"NAN",-39.71,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:30",68,12.92,22.1,"NAN",21.68,"NAN","NAN","NAN","NAN","NAN",-19.61,"NAN",-40.97,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:40",69,12.91,22.09,"NAN",21.66,"NAN","NAN","NAN","NAN","NAN",-20.17,"NAN",-41.17,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:37:50",70,12.91,22.08,"NAN",21.5,"NAN","NAN","NAN","NAN","NAN",-20.63,"NAN",-39.44,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:00",71,12.91,22.04,"NAN",21.39,"NAN","NAN","NAN","NAN","NAN",-23.25,"NAN",-48.6,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:10",72,12.91,22.03,"NAN",21.48,"NAN","NAN","NAN","NAN","NAN",-24.45,"NAN",-49.53,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:20",73,12.91,21.99,"NAN",21.43,"NAN","NAN","NAN","NAN","NAN",-25.21,"NAN",-51.02,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:30",74,12.91,21.98,"NAN",21.31,"NAN","NAN","NAN","NAN","NAN",-25.48,"NAN",-46.64,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:40",75,12.91,21.98,"NAN",21.3,"NAN","NAN","NAN","NAN","NAN",-25.91,"NAN",-45.18,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:38:50",76,12.91,21.95,"NAN",21.36,"NAN","NAN","NAN","NAN","NAN",-26.84,"NAN",-52.05,"NAN","NAN","NAN","NAN","NAN"
"2020-01-17 12:39:00",77,12.92,21.97,"NAN",21.31,"NAN","NAN","NAN","NAN","NAN",-26.97,"NAN",-49.86,"NAN","NAN","NAN","NAN","NAN"
