"TOA5","CR1000","CR1000","8841","CR1000.Std.25","CPU:lab1_TCs.CR1","17495","lab1_TCs"
"TIMESTAMP","RECORD","Batt_Volt_Min","temp_1_Avg","temp_2_Avg","temp_3_Avg","temp_4_Avg","temp_5_Avg","temp_6_Avg","volt_1_Avg","volt_2_Avg","volt_3_Avg","volt_4_Avg","volt_5_Avg","volt_6_Avg"
"TS","RN","Volts","degC","degC","degC","degC","degC","degC","microVolts","microVolts","microVolts","microVolts","microVolts","microVolts"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-01-17 13:03:40",0,13.16,"NAN",23.33,22.91,"NAN","NAN","NAN","NAN",-11.48,-24.31,"NAN","NAN","NAN"
"2020-01-17 13:03:50",1,13.15,"NAN",23.31,22.91,"NAN","NAN","NAN","NAN",-12.56,-25.66,"NAN","NAN","NAN"
"2020-01-17 13:04:00",2,13.15,"NAN",23.29,22.88,"NAN","NAN","NAN","NAN",-13.71,-26.47,"NAN","NAN","NAN"
"2020-01-17 13:04:10",3,13.15,"NAN",23.29,22.88,"NAN","NAN","NAN","NAN",-14.86,-26.4,"NAN","NAN","NAN"
"2020-01-17 13:04:20",4,13.15,"NAN",23.28,22.87,"NAN","NAN","NAN","NAN",-15.67,-26.2,"NAN","NAN","NAN"
"2020-01-17 13:04:30",5,13.15,"NAN",23.27,22.88,"NAN","NAN","NAN","NAN",-15.46,-25.93,"NAN","NAN","NAN"
"2020-01-17 13:04:40",6,13.15,"NAN",23.28,22.87,"NAN","NAN","NAN","NAN",-15.67,-26.06,"NAN","NAN","NAN"
"2020-01-17 13:04:50",7,13.15,"NAN",23.29,22.89,"NAN","NAN","NAN","NAN",-15.06,-25.73,"NAN","NAN","NAN"
"2020-01-17 13:05:00",8,13.15,"NAN",23.4,23.28,"NAN","NAN","NAN","NAN",-6.955,-8.51,"NAN","NAN","NAN"
"2020-01-17 13:05:10",9,13.15,"NAN",23.71,27,"NAN","NAN","NAN","NAN",12.96,143.8,"NAN","NAN","NAN"
"2020-01-17 13:05:20",10,13.15,"NAN",24.69,28.28,"NAN","NAN","NAN","NAN",73.4,194.5,"NAN","NAN","NAN"
"2020-01-17 13:05:30",11,13.15,"NAN",26.18,28.03,"NAN","NAN","NAN","NAN",164.1,183.6,"NAN","NAN","NAN"
"2020-01-17 13:05:40",12,13.15,"NAN",27.97,27.59,"NAN","NAN","NAN","NAN",272.1,164.7,"NAN","NAN","NAN"
"2020-01-17 13:05:50",13,13.15,"NAN",27.57,27.13,"NAN","NAN","NAN","NAN",247.5,146,"NAN","NAN","NAN"
"2020-01-17 13:06:00",14,13.15,"NAN",26.98,26.7,"NAN","NAN","NAN","NAN",209,128.6,"NAN","NAN","NAN"
"2020-01-17 13:06:10",15,13.15,"NAN",26.34,26.26,"NAN","NAN","NAN","NAN",168.2,110.2,"NAN","NAN","NAN"
"2020-01-17 13:06:20",16,13.15,"NAN",25.79,25.87,"NAN","NAN","NAN","NAN",135.8,94.1,"NAN","NAN","NAN"
"2020-01-17 13:06:30",17,13.15,"NAN",25.41,25.55,"NAN","NAN","NAN","NAN",115,81,"NAN","NAN","NAN"
"2020-01-17 13:06:40",18,13.15,"NAN",25.76,25.34,"NAN","NAN","NAN","NAN",134.8,73.33,"NAN","NAN","NAN"
"2020-01-17 13:06:50",19,13.15,"NAN",25.79,25.18,"NAN","NAN","NAN","NAN",137.1,64.55,"NAN","NAN","NAN"
"2020-01-17 13:07:00",20,13.15,"NAN",25.57,24.98,"NAN","NAN","NAN","NAN",123.3,57.93,"NAN","NAN","NAN"
"2020-01-17 13:07:10",21,13.15,"NAN",25.33,24.83,"NAN","NAN","NAN","NAN",108.4,52.33,"NAN","NAN","NAN"
"2020-01-17 13:07:20",22,13.14,"NAN",25.12,24.72,"NAN","NAN","NAN","NAN",95.4,47.2,"NAN","NAN","NAN"
"2020-01-17 13:07:30",23,13.14,"NAN",24.91,24.59,"NAN","NAN","NAN","NAN",82.5,41.93,"NAN","NAN","NAN"
"2020-01-17 13:07:40",24,13.14,"NAN",24.69,24.44,"NAN","NAN","NAN","NAN",69.14,36.19,"NAN","NAN","NAN"
"2020-01-17 13:07:50",25,13.14,"NAN",24.49,24.31,"NAN","NAN","NAN","NAN",57.06,30.86,"NAN","NAN","NAN"
"2020-01-17 13:08:00",26,13.15,"NAN",24.32,24.22,"NAN","NAN","NAN","NAN",46.86,27.21,"NAN","NAN","NAN"
"2020-01-17 13:08:10",27,13.15,"NAN",24.15,24.15,"NAN","NAN","NAN","NAN",36.87,24.17,"NAN","NAN","NAN"
"2020-01-17 13:08:20",28,13.14,"NAN",24.01,24.07,"NAN","NAN","NAN","NAN",28.09,21.4,"NAN","NAN","NAN"
"2020-01-17 13:08:30",29,13.15,"NAN",23.86,23.96,"NAN","NAN","NAN","NAN",20.32,17.89,"NAN","NAN","NAN"
"2020-01-17 13:08:40",30,13.14,"NAN",23.75,23.91,"NAN","NAN","NAN","NAN",12.96,15.46,"NAN","NAN","NAN"
"2020-01-17 13:08:50",31,13.14,"NAN",23.65,23.83,"NAN","NAN","NAN","NAN",6.482,12.56,"NAN","NAN","NAN"
