,Date,Time,Temp_C,RH,DewPt_C,Pressure_hPa,,,,,
0,2002-06-20,12:15a,3.4,98,3.2,1016.6,,,,,
1,2002-06-20,12:30a,3.4,98,3.2,1016.8,,,,,
2,2002-06-20,12:45a,3.5,98,3.2,1016.9,,,,,
3,2002-06-20,1:00a,3.4,98,3.2,1016.7,,,,,
4,2002-06-20,1:15a,3.5,98,3.2,1016.7,,,,,
5,2002-06-20,1:30a,3.4,98,3.2,1017,,,,,
6,2002-06-20,1:45a,3.4,98,3.1,1017.1,,,,,
7,2002-06-20,2:00a,3.3,98,3,1016.9,,,,,
8,2002-06-20,2:15a,3.3,98,3,1017.5,,,,,
9,2002-06-20,2:30a,3.3,98,3,1017.1,,,,,
10,2002-06-20,2:45a,3.4,98,3.1,1017.2,,,,,
11,2002-06-20,3:00a,3.3,98,3,1017.2,,,,,
12,2002-06-20,3:15a,3.3,98,3,1016.9,,,,,
13,2002-06-20,3:30a,3.3,98,3,1017.2,,,,,
14,2002-06-20,3:45a,3.2,98,2.9,1017.6,,,,,
15,2002-06-20,4:00a,3.2,98,2.9,1017.6,,,,,
16,2002-06-20,4:15a,3.2,98,2.9,1017.6,,,,,
17,2002-06-20,4:30a,3.3,98,3,1017.6,,,,,
18,2002-06-20,4:45a,3.3,98,3,1017.8,,,,,
19,2002-06-20,5:00a,3.3,98,3,1017.5,,,,,
20,2002-06-20,5:15a,3.4,98,3.1,1017.6,,,,,
21,2002-06-20,5:30a,3.5,98,3.2,1017.7,,,,,
22,2002-06-20,5:45a,3.6,98,3.3,1017.6,,,,,
23,2002-06-20,6:00a,3.7,98,3.4,1017.3,,,,,
24,2002-06-20,6:15a,3.7,98,3.4,1016.9,,,,,
25,2002-06-20,6:30a,3.6,98,3.3,1017.2,,,,,
26,2002-06-20,6:45a,3.5,98,3.2,1017.4,,,,,
27,2002-06-20,7:00a,3.4,98,3.2,1017.3,,,,,
28,2002-06-20,7:15a,3.6,98,3.3,1017.2,,,,,
29,2002-06-20,7:30a,3.6,98,3.3,1017.2,,,,,
30,2002-06-20,7:45a,3.6,98,3.3,1017.5,,,,,
31,2002-06-20,8:00a,3.6,97,3.1,1017.4,,,,,
32,2002-06-20,8:15a,3.6,97,3.1,1017.4,,,,,
33,2002-06-20,8:30a,3.6,98,3.3,1017.5,,,,,
34,2002-06-20,8:45a,3.6,97,3.1,1017.5,,,,,
35,2002-06-20,9:00a,3.7,98,3.4,1017.3,,,,,
36,2002-06-20,9:15a,3.7,98,3.4,1017.4,,,,,
37,2002-06-20,9:30a,3.8,98,3.5,1017.4,,,,,
38,2002-06-20,9:45a,3.9,98,3.7,1017.5,,,,,
39,2002-06-20,10:00a,4,98,3.7,1017.5,,,,,
40,2002-06-20,10:15a,4.1,98,3.8,1017.4,,,,,
41,2002-06-20,10:30a,4.2,98,3.9,1017.3,,,,,
42,2002-06-20,10:45a,4.2,98,3.9,1017.3,,,,,
43,2002-06-20,11:00a,4.2,98,3.9,1017.5,,,,,
44,2002-06-20,11:15a,4.3,97,3.9,1017.2,,,,,
45,2002-06-20,11:30a,4.3,98,4,1017.4,,,,,
46,2002-06-20,11:45a,4.3,98,4,1017.1,,,,,
47,2002-06-20,12:00p,4.3,97,3.8,1016.9,,,,,
48,2002-06-20,12:15p,4.3,97,3.9,1016.6,,,,,
49,2002-06-20,12:30p,4.3,97,3.9,1016.5,,,,,
50,2002-06-20,12:45p,4.4,97,4,1016.4,,,,,
51,2002-06-20,1:00p,4.4,97,4,1016.3,,,,,
52,2002-06-20,1:15p,4.5,97,4.1,1016.3,,,,,
53,2002-06-20,1:30p,4.4,97,4,1016.1,,,,,
54,2002-06-20,1:45p,4.4,97,4,1015.7,,,,,
55,2002-06-20,2:00p,4.5,97,4.1,1015.5,,,,,
56,2002-06-20,2:15p,4.6,97,4.1,1015.6,,,,,
57,2002-06-20,2:30p,4.5,97,4.1,1015.5,,,,,
58,2002-06-20,2:45p,4.6,97,4.1,1015.2,,,,,
59,2002-06-20,3:00p,4.6,97,4.1,1015.2,,,,,
60,2002-06-20,3:15p,4.4,97,4,1015.1,,,,,
