TOA5,CR1000,CR1000,8841,CR1000.Std.25,CPU:lab6_CS.CR1,58691,CS
TIMESTAMP,RECORD,Batt_Volt_Min,T_CS,RH_CS,,,
TS,RN,Volts,degC,%,,,
,,Min,Smp,Smp,,,
2020-02-13 13:08,0,13.15,22.47,30.93,,,
2020-02-14 11:14,0,13.18,23.87,30.24,,,
2020-02-14 11:14,1,13.18,23.87,30.31,,,
2020-02-14 11:14,2,13.19,23.83,30.31,,,
2020-02-14 11:14,3,13.17,23.75,30.31,,,
2020-02-14 11:14,4,13.17,23.85,30.36,,,
2020-02-14 11:14,5,13.18,23.85,30.27,,,
2020-02-14 11:14,6,13.18,23.8,30.29,,,
2020-02-14 11:14,7,13.18,23.85,30.27,,,
2020-02-14 11:14,8,13.18,23.85,30.24,,,
2020-02-14 11:14,9,13.18,23.87,30.26,,,
2020-02-14 11:14,10,13.18,23.87,30.27,,,
2020-02-14 11:14,11,13.18,23.82,30.24,,,
2020-02-14 11:14,12,13.18,23.85,30.2,,,
2020-02-14 11:14,13,13.18,23.83,30.27,,,
2020-02-14 11:14,14,13.18,23.78,30.31,,,
2020-02-14 11:14,15,13.18,23.78,30.26,,,
2020-02-14 11:14,16,13.18,23.8,30.27,,,
2020-02-14 11:14,17,13.18,23.85,30.27,,,
2020-02-14 11:14,18,13.18,23.83,30.29,,,
2020-02-14 11:14,19,13.18,23.76,30.27,,,
2020-02-14 11:14,20,13.18,23.78,30.26,,,
2020-02-14 11:14,21,13.18,23.8,30.24,,,
2020-02-14 11:14,22,13.18,23.8,30.22,,,
2020-02-14 11:14,23,13.17,23.76,30.26,,,
2020-02-14 11:14,24,13.18,23.76,30.26,,,
2020-02-14 11:14,25,13.18,23.87,30.26,,,
2020-02-14 11:14,26,13.18,23.85,30.22,,,
2020-02-14 11:14,27,13.17,23.85,30.24,,,
2020-02-14 11:14,28,13.18,23.76,30.27,,,
2020-02-14 11:14,29,13.19,23.83,30.26,,,
2020-02-14 11:14,30,13.17,23.76,30.26,,,
2020-02-14 11:14,31,13.19,23.78,30.32,,,
2020-02-14 11:14,32,13.18,23.78,30.66,,,
2020-02-14 11:14,33,13.18,23.73,31.02,,,
2020-02-14 11:14,34,13.17,23.76,31.16,,,
2020-02-14 11:14,35,13.18,23.82,31.31,,,
2020-02-14 11:14,36,13.18,23.78,31.31,,,
2020-02-14 11:14,37,13.18,23.76,31.36,,,
2020-02-14 11:14,38,13.17,23.73,31.48,,,
2020-02-14 11:14,39,13.18,23.82,31.6,,,
2020-02-14 11:14,40,13.17,23.87,31.63,,,
2020-02-14 11:14,41,13.18,23.78,31.58,,,
2020-02-14 11:14,42,13.17,23.83,31.53,,,
2020-02-14 11:14,43,13.18,23.73,31.43,,,
2020-02-14 11:14,44,13.18,23.73,31.36,,,
2020-02-14 11:14,45,13.17,23.8,31.36,,,
2020-02-14 11:14,46,13.18,23.85,31.24,,,
2020-02-14 11:14,47,13.17,23.82,31.17,,,
2020-02-14 11:14,48,13.18,23.85,31.14,,,
2020-02-14 11:14,49,13.18,23.85,31.63,,,
2020-02-14 11:14,50,13.18,23.85,37.69,,,
2020-02-14 11:14,51,13.17,23.82,41.54,,,
2020-02-14 11:14,52,13.18,23.82,47.72,,,
2020-02-14 11:14,53,13.18,23.9,51.16,,,
2020-02-14 11:15,54,13.18,23.87,52.16,,,
2020-02-14 11:15,55,13.18,24.02,52.43,,,
2020-02-14 11:15,56,13.17,23.92,52.01,,,
2020-02-14 11:15,57,13.17,23.88,50.52,,,
2020-02-14 11:15,58,13.18,23.9,49.55,,,
2020-02-14 11:15,59,13.18,23.85,47.26,,,
2020-02-14 11:15,60,13.17,23.88,46.04,,,
2020-02-14 11:15,61,13.17,23.92,43.66,,,
2020-02-14 11:15,62,13.18,23.9,42.15,,,
2020-02-14 11:15,63,13.18,23.85,41.03,,,
2020-02-14 11:15,64,13.18,23.85,39.47,,,
2020-02-14 11:15,65,13.18,23.83,38.72,,,
2020-02-14 11:15,66,13.18,23.85,37.55,,,
2020-02-14 11:15,67,13.17,23.85,37.08,,,
2020-02-14 11:15,68,13.17,23.81,36.16,,,
2020-02-14 11:15,69,13.17,23.85,35.8,,,
2020-02-14 11:15,70,13.17,23.85,35.13,,,
2020-02-14 11:15,71,13.18,23.87,34.82,,,
2020-02-14 11:15,72,13.17,23.85,34.28,,,
2020-02-14 11:15,73,13.17,23.83,33.85,,,
2020-02-14 11:15,74,13.18,23.81,33.65,,,
2020-02-14 11:15,75,13.18,23.85,33.26,,,
2020-02-14 11:15,76,13.17,23.85,33.12,,,
2020-02-14 11:15,77,13.18,23.85,32.82,,,
2020-02-14 11:15,78,13.17,23.81,32.66,,,
2020-02-14 11:15,79,13.17,23.85,32.41,,,
