Time, Wsp
2020-03-06 11:49,0
2020-03-06 11:49,0
2020-03-06 11:49,0
2020-03-06 11:49,0
2020-03-06 11:49,0
2020-03-06 11:49,0
2020-03-06 11:50,0
2020-03-06 11:50,0
2020-03-06 11:50,0
2020-03-06 11:50,0
2020-03-06 11:50,0
2020-03-06 11:50,1.6
2020-03-06 11:50,2.2
2020-03-06 11:50,2.6
2020-03-06 11:50,2.3
2020-03-06 11:50,2.2
2020-03-06 11:50,2.5
2020-03-06 11:50,2.4
2020-03-06 11:51,2
2020-03-06 11:51,2.6
2020-03-06 11:51,3
2020-03-06 11:51,2.8
2020-03-06 11:51,2.6
2020-03-06 11:51,2.7
2020-03-06 11:51,2.3
2020-03-06 11:51,2
2020-03-06 11:51,2.6
2020-03-06 11:51,2.7
2020-03-06 11:51,3
2020-03-06 11:51,2.6
2020-03-06 11:52,2.6
2020-03-06 11:52,2.7
2020-03-06 11:52,2.6
2020-03-06 11:52,2.3
2020-03-06 11:52,2.4
2020-03-06 11:52,2.2
2020-03-06 11:52,2.5
2020-03-06 11:52,2.7
2020-03-06 11:52,2.6
2020-03-06 11:52,2.8
2020-03-06 11:52,2.7
2020-03-06 11:52,2.8
2020-03-06 11:53,2.8
2020-03-06 11:53,2.8
2020-03-06 11:53,2.5
2020-03-06 11:53,2.3
2020-03-06 11:53,2.3
2020-03-06 11:53,2.5
2020-03-06 11:53,2.6
2020-03-06 11:53,2.1
2020-03-06 11:53,2.3
2020-03-06 11:53,2.4
2020-03-06 11:53,1.9
2020-03-06 11:53,2.5
2020-03-06 11:54,2.7
2020-03-06 11:54,2.5
2020-03-06 11:54,2
2020-03-06 11:54,2.3
2020-03-06 11:54,2.5
2020-03-06 11:54,1.9
2020-03-06 11:54,2.1
2020-03-06 11:54,2.4
2020-03-06 11:54,2.5
2020-03-06 11:54,2.8
2020-03-06 11:54,2.2
2020-03-06 11:54,2.3
2020-03-06 11:55,2.3
2020-03-06 11:55,2.3
2020-03-06 11:55,2.5
2020-03-06 11:55,2.5
2020-03-06 11:55,2.2
2020-03-06 11:55,2.4
2020-03-06 11:55,2.2
2020-03-06 11:55,2.5
2020-03-06 11:55,2.1
2020-03-06 11:55,2.5
2020-03-06 11:55,2.9
2020-03-06 11:55,3.2
2020-03-06 11:56,3.2
2020-03-06 11:56,3.3
2020-03-06 11:56,3.2
2020-03-06 11:56,3.2
2020-03-06 11:56,3.2
2020-03-06 11:56,3.3
2020-03-06 11:56,3.6
2020-03-06 11:56,3.4
2020-03-06 11:56,3.4
2020-03-06 11:56,3.4
2020-03-06 11:56,3.1
2020-03-06 11:56,3.2
2020-03-06 11:57,2.9
2020-03-06 11:57,3.2
2020-03-06 11:57,3.2
2020-03-06 11:57,2.6
2020-03-06 11:57,3.1
2020-03-06 11:57,2.7
2020-03-06 11:57,2.9
2020-03-06 11:57,3.1
2020-03-06 11:57,3
2020-03-06 11:57,2.7
2020-03-06 11:57,3.2
2020-03-06 11:57,3.2
2020-03-06 11:58,3.3
2020-03-06 11:58,2.9
2020-03-06 11:58,3.1
2020-03-06 11:58,3.1
2020-03-06 11:58,3.4
2020-03-06 11:58,2.7
2020-03-06 11:58,3.1
2020-03-06 11:58,2.4
2020-03-06 11:58,2.8
2020-03-06 11:58,3.2
2020-03-06 11:58,3.6
2020-03-06 11:58,3
