,Date,Time,Temp_C,RH,DewPt_C,Pressure_hPa
0,02-06-20,12:15a,3.4,98,3.2,1016.6
1,02-06-20,12:30a,3.4,98,3.2,1016.8
2,02-06-20,12:45a,3.5,98,3.2,1016.9
3,02-06-20,1:00a,3.4,98,3.2,1016.7
4,02-06-20,1:15a,3.5,98,3.2,1016.7
5,02-06-20,1:30a,3.4,98,3.2,1017
6,02-06-20,1:45a,3.4,98,3.1,1017.1
7,02-06-20,2:00a,3.3,98,3,1016.9
8,02-06-20,2:15a,3.3,98,3,1017.5
9,02-06-20,2:30a,3.3,98,3,1017.1
10,02-06-20,2:45a,3.4,98,3.1,1017.2
11,02-06-20,3:00a,3.3,98,3,1017.2
12,02-06-20,3:15a,3.3,98,3,1016.9
13,02-06-20,3:30a,3.3,98,3,1017.2
14,02-06-20,3:45a,3.2,98,2.9,1017.6
15,02-06-20,4:00a,3.2,98,2.9,1017.6
16,02-06-20,4:15a,3.2,98,2.9,1017.6
17,02-06-20,4:30a,3.3,98,3,1017.6
18,02-06-20,4:45a,3.3,98,3,1017.8
19,02-06-20,5:00a,3.3,98,3,1017.5
20,02-06-20,5:15a,3.4,98,3.1,1017.6
21,02-06-20,5:30a,3.5,98,3.2,1017.7
22,02-06-20,5:45a,3.6,98,3.3,1017.6
23,02-06-20,6:00a,3.7,98,3.4,1017.3
24,02-06-20,6:15a,3.7,98,3.4,1016.9
25,02-06-20,6:30a,3.6,98,3.3,1017.2
26,02-06-20,6:45a,3.5,98,3.2,1017.4
27,02-06-20,7:00a,3.4,98,3.2,1017.3
28,02-06-20,7:15a,3.6,98,3.3,1017.2
29,02-06-20,7:30a,3.6,98,3.3,1017.2
30,02-06-20,7:45a,3.6,98,3.3,1017.5
31,02-06-20,8:00a,3.6,97,3.1,1017.4
32,02-06-20,8:15a,3.6,97,3.1,1017.4
33,02-06-20,8:30a,3.6,98,3.3,1017.5
34,02-06-20,8:45a,3.6,97,3.1,1017.5
35,02-06-20,9:00a,3.7,98,3.4,1017.3
36,02-06-20,9:15a,3.7,98,3.4,1017.4
37,02-06-20,9:30a,3.8,98,3.5,1017.4
38,02-06-20,9:45a,3.9,98,3.7,1017.5
39,02-06-20,10:00a,4,98,3.7,1017.5
40,02-06-20,10:15a,4.1,98,3.8,1017.4
41,02-06-20,10:30a,4.2,98,3.9,1017.3
42,02-06-20,10:45a,4.2,98,3.9,1017.3
43,02-06-20,11:00a,4.2,98,3.9,1017.5
44,02-06-20,11:15a,4.3,97,3.9,1017.2
45,02-06-20,11:30a,4.3,98,4,1017.4
46,02-06-20,11:45a,4.3,98,4,1017.1
47,02-06-20,12:00p,4.3,97,3.8,1016.9
48,02-06-20,12:15p,4.3,97,3.9,1016.6
49,02-06-20,12:30p,4.3,97,3.9,1016.5
50,02-06-20,12:45p,4.4,97,4,1016.4
51,02-06-20,1:00p,4.4,97,4,1016.3
52,02-06-20,1:15p,4.5,97,4.1,1016.3
53,02-06-20,1:30p,4.4,97,4,1016.1
54,02-06-20,1:45p,4.4,97,4,1015.7
55,02-06-20,2:00p,4.5,97,4.1,1015.5
56,02-06-20,2:15p,4.6,97,4.1,1015.6
57,02-06-20,2:30p,4.5,97,4.1,1015.5
58,02-06-20,2:45p,4.6,97,4.1,1015.2
59,02-06-20,3:00p,4.6,97,4.1,1015.2
60,02-06-20,3:15p,4.4,97,4,1015.1
61,02-06-20,3:30p,4.4,97,4,1015.2
62,02-06-20,3:45p,4.3,97,3.9,1015.1
63,02-06-20,4:00p,4.3,97,3.9,1014.9
64,02-06-20,4:15p,4.3,97,3.8,1014.7
65,02-06-20,4:30p,4.3,97,3.8,1014.8
66,02-06-20,4:45p,4.2,97,3.8,1014.8
67,02-06-20,5:00p,4.2,97,3.7,1015
68,02-06-20,5:15p,4.1,97,3.6,1015.1
